PartitionKey,Scaled Sentiment Index
Bernie Sanders,30.95539298
Bernie Sanders,-10.12876778
Bernie Sanders,-34.00692533
Bernie Sanders,25.60796819
Bernie Sanders,43.16229021
Bernie Sanders,7.260597333
Bernie Sanders,-8.723795908
Bernie Sanders,7.260511328
Bernie Sanders,77.17970733
Bernie Sanders,-25.73766475
Bernie Sanders,-1.647763765
Bernie Sanders,25.27237806
Bernie Sanders,13.08586393
Bernie Sanders,49.01946453
Bernie Sanders,25.27237806
Bernie Sanders,-46.63902953
Bernie Sanders,-1.995738558
Bernie Sanders,6.916492749
Bernie Sanders,36.92179319
Bernie Sanders,-64.35039603
Bernie Sanders,19.54317866
Bernie Sanders,27.95254081
Bernie Sanders,-29.32388642
Bernie Sanders,19.96597749
Bernie Sanders,10.00749968
Bernie Sanders,74.39332885
Bernie Sanders,80.25936165
Bernie Sanders,0.697238877
Bernie Sanders,-57.39657649
Bernie Sanders,19.20475038
Bernie Sanders,46.09754273
Bernie Sanders,-127.0072738
Bernie Sanders,77.17970733
Bernie Sanders,-39.07638311
Bernie Sanders,7.260511328
Bernie Sanders,106.9016225
Bernie Sanders,19.20475038
Bernie Sanders,57.38453429
Bernie Sanders,-67.05094188
Bernie Sanders,-20.74088089
Bernie Sanders,-5.571295656
Bernie Sanders,-33.64587783
Bernie Sanders,-10.12876778
Bernie Sanders,63.10917545
Bernie Sanders,-2.43092206
Bernie Sanders,31.28823095
Bernie Sanders,63.42558654
Bernie Sanders,-10.12876778
Bernie Sanders,77.17970733
Bernie Sanders,35.93110569
Bernie Sanders,-74.15913976
Bernie Sanders,30.95539298
Bernie Sanders,0.350210136
Bernie Sanders,60.25373524
Bernie Sanders,31.62089692
Bernie Sanders,25.27237806
Bernie Sanders,-18.25293853
Bernie Sanders,11.71925012
Bernie Sanders,31.28823095
Bernie Sanders,-57.39657649
Bernie Sanders,-7.671615085
Bernie Sanders,-11.88833681
Bernie Sanders,-30.40255667
Bernie Sanders,-21.45299935
