PartitionKey,timeOfTweet,,,Prob,0.695411405
Ben Carson,Sun Feb 28 15:04:57 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:05:00 +0000 2016,,,0.646570861,-70.23259017
Ben Carson,Sun Feb 28 15:05:06 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:05:06 +0000 2016,,,0.708456516,18.75883927
Ben Carson,Sun Feb 28 15:47:49 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:47:53 +0000 2016,,,0.738091052,61.37323382
Ben Carson,Sun Feb 28 15:47:56 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 15:47:58 +0000 2016,,,0.662679374,-47.06858556
Ben Carson,Sun Feb 28 15:48:07 +0000 2016,,,0.738091052,61.37323382
Ben Carson,Sun Feb 28 15:48:14 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:48:14 +0000 2016,,,0.712412059,24.446901
Ben Carson,Sun Feb 28 15:48:18 +0000 2016,,,0.689420938,-8.614278081
Ben Carson,Sun Feb 28 15:48:26 +0000 2016,,,0.752684891,82.35914071
Ben Carson,Sun Feb 28 15:48:26 +0000 2016,,,0.738091052,61.37323382
Ben Carson,Sun Feb 28 15:48:27 +0000 2016,,,0.658558607,-52.99423902
Ben Carson,Sun Feb 28 15:48:28 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:48:37 +0000 2016,,,0.601228356,-135.435008
Ben Carson,Sun Feb 28 15:48:58 +0000 2016,,,0.699262321,5.537608019
Ben Carson,Sun Feb 28 15:49:01 +0000 2016,,,0.677245617,-26.12236165
Ben Carson,Sun Feb 28 15:49:07 +0000 2016,,,0.671969652,-33.70918718
Ben Carson,Sun Feb 28 15:49:18 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:49:28 +0000 2016,,,0.738091052,61.37323382
Ben Carson,Sun Feb 28 15:49:38 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:49:50 +0000 2016,,,0.662679374,-47.06858556
Ben Carson,Sun Feb 28 15:50:01 +0000 2016,,,0.708456516,18.75883927
Ben Carson,Sun Feb 28 15:50:01 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:50:03 +0000 2016,,,0.738091052,61.37323382
Ben Carson,Sun Feb 28 15:50:04 +0000 2016,,,0.650502443,-64.57898431
Ben Carson,Sun Feb 28 15:50:06 +0000 2016,,,0.738091052,61.37323382
Ben Carson,Sun Feb 28 15:50:10 +0000 2016,,,0.663248003,-46.25089837
Ben Carson,Sun Feb 28 15:50:18 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 15:50:22 +0000 2016,,,0.669221342,-37.66125063
Ben Carson,Sun Feb 28 15:50:25 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:50:29 +0000 2016,,,0.738091052,61.37323382
Ben Carson,Sun Feb 28 15:50:31 +0000 2016,,,0.678665578,-24.080461
Ben Carson,Sun Feb 28 15:50:38 +0000 2016,,,0.678418875,-24.43521935
Ben Carson,Sun Feb 28 15:50:40 +0000 2016,,,0.735898674,58.2205993
Ben Carson,Sun Feb 28 15:50:43 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:50:52 +0000 2016,,,0.675946295,-27.9907837
Ben Carson,Sun Feb 28 15:50:52 +0000 2016,,,0.734136283,55.6862851
Ben Carson,Sun Feb 28 15:50:53 +0000 2016,,,0.712412059,24.446901
Ben Carson,Sun Feb 28 15:50:53 +0000 2016,,,0.758947074,91.36414545
Ben Carson,Sun Feb 28 15:50:58 +0000 2016,,,0.752684891,82.35914071
Ben Carson,Sun Feb 28 15:51:00 +0000 2016,,,0.735898674,58.2205993
